npsn,nama_sekolah,alamat,kelurahan,kecamatan,kabupaten,provinsi,status,bentuk_pendidikan,jenjang,telepon,fax,email,website,operator
20272053,SMKS MUHAMMADIYAH 6 LEUWILIANG,Komplek Amanah Asri Blok D No 13 Rt 01 Rw 13,LEUWILIANG,Leuwiliang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518642847,02518642847,smkm6leuwiliang@gmail.com,http://smkm6leuwiliang.sch.id,YAYA IRWANA
69894525,SMK 2 AL AMIN SURYADINATA,JL. RAYA GUNUNG SALAK ENDAH CIKONENG,GUNUNG MENYAN,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,0251640170,08577322490,smk2alaminsuryadinata0199@gmail.com,-,SAEPUL FAHMI
69883428,SMK CIPTA MANDIRI,JL. HM PARTA KM 03 KP SUKAMULYA RT03/05,CIASIHAN,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,0,ciptamandirismk@gmail.com,http://ciptamandirismk.wordpress.com,SITI NUR AIDA
69788559,SMK KESEHATAN RAFLESIA,Jl.Raya Gunung Salak Endah Kp.Pasar Jumat,GUNUNG SARI,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkraflesiabogor01@gmail.com,http://www.kampusraflesia.com,SYAEPIN MUSLIIHAT
69880768,SMK NURLIDA PAMIJAHAN,Jln Raya Cibungbulang Km.18 Desa Cemplang Kecamatan Cibungbulang,CIMAYANG,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smknurlida2014@gmail.com,http://www.smk nurlida pamijahan.com,R.MUHAMAD AKBAR
69886257,SMK SAHID,Jl. Kapten Dasuki Bakri,GUNUNG MENYAN,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518643436,02518643580,smksahid77@gmail.com,http://www.pesantrenmodernsahid.or.id,EDI SUDRAJAT
20232415,SMKS AL AMIN,JL. TAMRIN NO. 1 CIBENING PAMIJAHAN BOGOR,CIBENING,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,0251640170,smkalaminbogor@gmail.com,-,MUHAMAD ILHAM ALFIANSYAH
20270625,SMKS ASSALAM,Jl. Kapten Dasuki Bakri Km 04,CIMAYANG,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smks.assalam@gmail.com,http://smkassalambogor.sch.id,Lutfi Khadafi
20271764,SMKS BUMI PUTERA,JL. KH. ABDUL HAMID KM. 15,CIASMARA,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkbumiputera12@gmail.com,http://smkbumiputerapamijahan.sch.id,AGUS
69755234,SMKS MUHAMMADIYAH 5,JL. KH ABDUL HAMID KM 10 CIDAMAR,CIBITUNG WETAN,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518055505,-,-,-,IMRON ALFARIZI
69759160,SMKS NURFADILLAH,KP.CILENGKONG RT 02/ RW 05,PAMIJAHAN,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smknf413@gmail.com,http://smknurfadillah.schid.com,Ahmad Ripai
20252939,SMKS PGRI PAMIJAHAN,JLN. GUNUNG SALAK ENDAH DESA GUNUNG SARI KEC. PAMIJAHAN KAB. BOGOR,GUNUNG SARI,Pamijahan,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkpgripamijahan707@gmail.com,http://smkpgripamijahanbogor.sch.id,ATI ARIPIANTI
69947222,SMK BIPMAN,Jl. Kh Umar Cirangkong Rt 019 Rw 004,CEMPLANG,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkbipmanbogor@gmail.com,-,MUHAMMAD GURUH PUTRA
20254845,SMK CAHAYA,"JL. KH HAMID KM. 2 KECAMATAN CIBUNGBULANG, KAB. BOGOR",SITU ILIR,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smk.cahaya56@yahoo.com,http://smkcahaya.wher,RONI
69954269,SMK MATUSHA DWI ELANG,Desa Girimulya RT 01 RW 01 Kec. Cibungbulang Kab. Bogor,GIRIMULYA,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518641318,-,matusha69954269@gmail.com,-,Adam Nabawi Sutani
69893524,SMK TEKNOMEDIKA 2,Kp. Cemplang RT. 025 RW. 006 Desa Cemplang,CEMPLANG,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518644138,-,teknomedika2@gmail.com,http://www.smkteknomedika2.sch.id,Muhamad Ikhsanuddin Mulyawansyah
20253352,SMKS ADZKIA KHARISMA,JL. K.H ABDUL HAMID KM. 04 CEMPLANG,SITU UDIK,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518647277,02518647277,smkadzkiakharisma@rocketmail.com,http://smkadzkiakharisma.wordpress.com,Yudawan Aditama
69771380,SMKS AL FAJAR,JL. KH ABDUL HAMID KM.05,SITU UDIK,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smk_alfajar@yahoo.com,-,TB. HILDAN ALFARIZHI
20272049,SMKS AL HIDAYAH,JL. KELURAHAN CIBOJEM,CIBATOK 1,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkalhidayah123@gmail.com,http://www.smkalhidayah.com,Nur Anwar Wawan
20271915,SMKS AULIA,KH. ABDUL HAMID KM. 03 SITU ILIR,SITU ILIR,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,0251,-,auliasmk@gmail.com,http://www.smkaulia.sch.id,SUTISNA
20232441,SMKS BUMI SEJAHTERA,Jl. Kapten Dasuki Bakri KM.1 Cibatok 1,CIBATOK 1,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518590119,-,smkbumisejahteracbbl@gmail.com,http://smkbusetbogor.blogspot.com,Muhamad Azis Munandar
69755454,SMKS CINTA RASUL,KOMPLEK MASJID JAMI AN-NUR RT 002/02 CIJUNJUNG,CIJUJUNG,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkcintarasul2011@gmail.com,-,Nadia Abimafy Chairunnisa
69727468,SMKS CO2,JL. KH ABDUL HAMID KM 2,SITU ILIR,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smk.co298@yahoo.com,http://smkco2.do,"RIZKA GUSTIAWAN KHULFANUR, S.Pd"
20231426,SMKS PANDU BOGOR,JL. RAYA CIBUNGBULANG KM.15 BOGOR,GIRIMULYA,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518421550,02518421549,smkpandu@yahoo.com,http://www.smkpandu.sch.id,Musyaddad Dzikri Haqiqi
20200595,SMKS PERTIWI CIBUNGBULANG BOGOR,JL. RAYA CEMPLANG KM 19 CIBUNGBULANG BOGOR,DUKUH,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518647408,0,smkpert@gmail.com,http://ict-smkpertiwi-bogor.blogspot.com,MOHAMAD DENI
69774887,SMKS YAPMA,KAMPUNG CEMPLANG RT 08 RW 02,CEMPLANG,Cibungbulang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkyapmabogor@gmail.com,http://SMKYAPMA.CO.ID,zulkhaidir
70029710,SMK TI Bazma,Kp. Cicadas RT. 001 RW. 001,CICADAS,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518427775,-,info@smktibazma.sch.id,http://https://smktibazma.sch.id/,Dito Abdusalam Rafi
70055807,SMK BAKTI PERTIWI CIAMPEA,Jl. Bhayangkara RT.006 RW. 003,TEGAL WARU,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,-,-,-
69895414,SMK KOMPUTER INDONESIA,JL. RAYA CIBADAK KP KERTASARI RT01/03,BOJONG RANGKAS,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518474555,0,smakommail.bogor@gmail.com,http://www.smakom.sch.id.,Ilham Adji Sudharyo
69880254,SMK PANDU 2,Jl.RAYA CIAMPEA KM 15 RT 03 RW 08,CIBADAK,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518592195,-,smkpandu2bogor@gmail.com,http://www.smkpandu2bogor.sch.id,Bagus Bayu Prakoso
69981358,SMK YAPAN 1 CIAMPEA,Jl. Purnawarman Pabuaran Poncol RT05/03 Ciampea,CIAMPEA,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkyapanciampea01@gmail.com,-,Asep Sutarmat
20232478,SMKS AGRI INSANI,"JL. CIBANTENG PROYEK, DS CIHIDEUNG ILIR RT 04 RW 03",CIHIDEUNG ILIR,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smksagriinsani@gmail.com,http://www.agriinsani.com,Yustya Mugi Rahayu
69725856,SMKS BINTANG PELAJAR,Jl. cibadak Karang Mas Rt.02/03,CIBADAK,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkbintangpelajar5856@gmail.com,-,MUHAMAD IQBAL ISWARA
20271250,SMKS CIPTA INSANI,Jl. Aki Mena Rt. 01/04 Kp. Cinangka Wates,CINANGKA,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518428529,0,ciptainsani.smk@gmail.com,http://www.smk.ciptainsani.go.id,MOHAMAD JAENUDIN
20253293,SMKS FARMASI GALENIUM,JL RAYA CIBANTENG,CIHIDEUNG ILIR,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkfarmasigalenium23@gmail.com,-,Nengtia Khaerunnisa
20276162,SMKS GEO INFORMATIKA,JL. CIHIDEUNG ILIR RT.06 RW.02 CIAMPEA,CIHIDEUNG ILIR,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518623715,-,info_smk@geoinformatika.sch.id,http://www.geoinformatika.sch.id,Zaenal Muttaqin
10648860,SMKS KESEHATAN PELITA,JL. RAYA WARUNG BORONG CIAMPEA,BOJONG RANGKAS,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518627289,02518627289,smkkesehatan342.pelita@gmail.com,http://smkkesehatanpelita.sch.id,Lailatul Badriyah
69755462,SMKS MADANI,JL ABDUL FATAH KM 4 BABAKAN NYAMPLUNG,CINANGKA,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smk.madanisatu@gmail.com,http://www.tarfal.com,RISMA DEWI
69754226,SMKS MADANI 2,JL. ABDUL FATAH KM 4 BABAKAN NYAMPLUNG,CINANGKA,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkmadani2@gmail.com,-,ENCEP SUTISNA
20258513,SMKS MIFTAAHUSH SHUDUUR,JL GUNUNG SALAK ENDAH,CIBUNTU,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,msmiftaahushshuduur165@gmail.com,http://miftaahushshuduur.com,Muhammad Iqbal
20200606,SMKS PELITA CIAMPEA 1,JL. RAYA WARUNG BORONG CIAMPEA,BENTENG,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518627289,02518627289,smkpelita.ciampea@gmail.com,http://smkpelita-ciampea.blogspot.com,Anwarsyah
20200607,SMKS PELITA CIAMPEA 2,PERUMAHAN CIAMPEA ASRI,BENTENG,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,8761562,-,-,-,Aditia Pratama Putra
20279822,SMKS PERSADA,JL. CIBANTENG PROYEK,CIHIDEUNG ILIR,Ciampea,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkpersadadarusolihin@gmail.com,-,ASEP ALFIANDA
10648862,SMK YAFAHI,KP. PERTEMUAN RT. 03/03 KEL. NEGLASARI,NEGLASARI,Dramaga,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkyafahidramaga@gmail.com,http://www.smk.sch.id,Putri Erica Al Muttaqin
20231368,SMKS ADI SANGGORO,Sengked No.1 Kampus IPB Dramaga Bogor,BABAKAN,Dramaga,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518620219,02518621137,info_smk@adisanggoro.sch.id,http://www.adisanggoro.sch.id,RIKI IRMAWAN
69756305,SMKS BINA IKHWANI,JL CIBEUREUM PETIR,SINAR SARI,Dramaga,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smksbinaikhwanibogor@gmail.com,http://smkbinaikhwani.mysch.id/,Fitrya Ningsih
20269064,SMKS GLOBIN,Jl. Cibeureum Tengah Rt. 06/01,SINAR SARI,Dramaga,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518422525,-,smk_globin@yahoo.co.id,http://smkglobin.sch.id,Khoerul Muhlisin
69893376,SMK BHAKTI MEDIKA,JL. RAYA CIOMAS PERMAI NO 09,PAGELARAN,Ciomas,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02517588129,-,smkybn@yahoo.com,http://smkybn.blogspot.co.id/,Q-Yusufa Pratama
69876824,SMK INFORMATIKA BINA GENERASI 2,JL. TAMAN PAGELARAN NO 2,PADASUKA,Ciomas,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02517520426,-,smkibgbogor2@gmail.com,http://www.smkibgduabogor.sch.id,Muhamad Nur Wahid
20254135,SMKN 1 CIOMAS,JL. RAYA  LALADON DS. LALADON  KEC.  CIOMAS,LALADON,Ciomas,Kab. Bogor,Jawa Barat,NEGERI,SMK,DIKMEN,02517520933,-,smkn1_ciomas@yahoo.co.id,http://www.smkn1ciomas.sch.id,Raden Ari Wisnu Wardhani
20200591,SMKS IBNU AQIL BOGOR,JL.LALADON NO. 256 CIOMAS BOGOR,LALADON,Ciomas,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518632041,02518638879,smk.ibnuaqil256@gmail.com,http://www.ibnuaqilbogor.sch.id,SITI MULYANAH
20232431,SMKS INFORMATIKA BINA GENERASI BOGOR,JL.CIKERTI NO.12,PADASUKA,Ciomas,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02517520426,02517520426,smkibgbogor@gmail.com,http://www.smkibg.sch.id,Okan Rizki Ramadhan
20268466,SMKS KUSUMA BANGSA,RAYA CIAPUS BELAKANG KOMPLEK BADAK PUTIH RT. 03/04 CIOMAS BOGOR,KOTA BATU,Ciomas,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518487725,0251,smkkusumabangsa@gmail.com,http://smk-kusumabangsa.sch.id,DESI
69768294,SMKS MA`ARIF NU CIOMAS,JL. RAYA KRETEG NO 55 CIOMAS,PAGELARAN,Ciomas,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkmaarifnu_ciomas@yahoo.com,http://www.smkmaarifnuciomas.com,ABDUL KOHAR
20232472,SMKS NURUL HIDAYAH 2 BOGOR,JL. RAYA CIAPUS KP. SUKAMANAH DESA TAMANSARI KEC. TAMANSARI KAB. BOGOR,CIOMAS,Ciomas,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,nurulhidayahdua@gmail.com,http://nurulhidayah.co.id,-
20270945,SMKS YASPI,Jl. H. Abdullah No.1 Kp. Babakan Ciomas RT.2 RW.3,PARAKAN,Ciomas,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,6282114867502,-,smksyaspiciomas@gmail.com,-,Sanny Apriadi
69888767,SMK MANDIRI BERKAH,Jl.KOLONEL BUSTOMI BURHANUDIN No. 79 RT 02 RW 01 CIJERUK KAB.BOGOR,CIJERUK,Cijeruk,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518563421,-,smksmandiriberkah@gmail.com,http://mandiriberkah.sch.id,IKBALUDIN
69880403,SMK NAHDLATUL ULAMA,Kp. Cihideung Rt. 05 Rw. 02 Desa Cipelang Kec. Cijeruk,CIPELANG,Cijeruk,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smknucijeruk@gmail.com,http://smpsmknubogor.sch.id,NANDA HADIDAT
70010597,SMK QOTRUNNADA 1,"Kampung Pasir Pogor, RT.01 RW.04",CIPELANG,Cijeruk,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,-,-,DEVI RATNASARI
69956384,SMK TARUMA NEGARA BOGOR,Jl Encesumantadireja RT 10 RW 04,TANJUNG SARI,Cijeruk,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,tarumanegarabogor@gmail.com,http://smktarumanegara.sch.id/,Muhammad Umar Nurbahari
20268503,SMKS ASY SYUKUR,KOL BUSTOMI BURHANUDIN NO. 45,WARUNG MENTENG,Cijeruk,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,02518563113,smk_asysyukur@yahoo.co.id,http://www.asysyukur.sch.id,Adlina Octaviani K
20280623,SMKS SIROJUL HUDA 3,JL RE SUMANTADIREJA CIJERUK,TANJUNG SARI,Cijeruk,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smk.sirojulhuda3.bogor@gmail.com,http://smk_sirojulhuda3.com,Uus Nursamsu
10648877,SMK FARMAKO MEDIKA PLUS,TALANG 2 CIMANDE,LEMAH DUHUR,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,0252022333,-,smkfarmakomedika@gmail.com,http://www.almuchtari.sch.id,Adam Samsul Bahri
20270546,SMK NAHDLATUL ULAMA  AL-MINHAJ,JL. MAYJEN HR. EDI SUKMA KM 20,CINAGARA,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518222139,-,alminhajonline@ymail.com,http://allminhaj.blogspot.com,MUHAMMAD ALWAN FAUZI RAHMATULLAH
69816347,SMK PUTRA MANDIRI BANGSA,LEMBUR SITU,CIMANDE HILIR,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkpmbangsa@gmail.com,http://smkputramandiribangsa.sch.id,R. Adi Darmawan
69758825,SMKS AL WATASI,KP.WATES DS.PANCAWATI KEC. CARINGIN BOGOR,PANCAWATI,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkalwatasibogor@yahoo.com,-,Muhammad Afifudin
20272075,SMKS BHAKTI CANDRA,Jl.Nanggeleng Kampung Cimande Girang,LEMAH DUHUR,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkbhaktitjandra@gmail.com,http://www.smk_bhakticandra.id,JUNIAWAN SOPANDI
20231384,SMKS BINA CIPTA INSANI CARINGIN,JL RAYA MAYJEN H.R. EDI SUKMA KM. 14,CIHERANG PONDOK,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkbci@gmail.com,http://www.smkbcicrn.blogspot.com,Putri Agustina
20268810,SMKS HUMANIKA 1,Jl. Balandongan,CIHERANG PONDOK,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518253126,-,smkhumanika@yahoo.com,http://smkhumanika.com,Chrissna Dwiki Dewantoro
20268948,SMKS IT NAPALA,"JL. Pasar Cikereteg KM 1,5 Kp. Ciletuh RT 003 RW 008",CIDERUM,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518291571,-,smknapala@gmail.com,http://www.smknapala.sch.id,NARLAN
69755810,SMKS KARYA NYATA,H. R EDI SUKMA  KP. DUKUH KAUNG,CINAGARA,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkkaryanyata@yahoo.com,-,SITI NURHAYATI
69755751,SMKS TEKINDO,JL. RAYA SUKABUMI RT 01 RW 02,CIHERANG PONDOK,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518290229,02518290229,smk_tekindo@yahoo.co.id,http://www.smktekindo.sch.id,Novia Gemilang Permatasari
20279816,SMKS TEKNOLOGI INDONESIA,JL.RAYA SUKABUMI DESA CIHERANG PONDOK,CIHERANG PONDOK,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518290229,02518290229,smk.teknologi.indonesia@gmail.com,http://teknologii-indonesia.blogspot.com,Satriyo Leksono
20258318,SMKS TI DARUL FURQON,Jln. Mayjen HE Sukma Km. 19,LEMAH DUHUR,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,0251,smkti.df@gmail.com,https://smktidarulfurqon.sch.id/,Fachrun Acep Amirullah
20232498,SMKS YAPAS BOGOR,JL BALANDONGAN CIHERANG PONDOK CARINGIN BOGOR,CIHERANG PONDOK,Caringin,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smk.yapas@yahoo.co.id,-,Redi junaedi
69877904,SMK 98 CIAWI,JL. VETERAN III,BANJAR SARI,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518249740,-,smk98_ciawi@yahoo.co.id,-,Dini anggraeni
69859698,SMK BINASENA,Jl.SUNGAI CIBALOK No. 45  CIAWI BOGOR,PANDANSARI,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,binsenl45@gmail.com,-,ahmad rijal maulana
20270996,SMKS AMALIAH 1,Jalan Tol Ciawi Nomor 01,CIAWI,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518241986,8241986,smkamaliahciawi@gmail.com,http://www.smkamaliah.sch.id,Risfan Novrian
20268242,SMKS AMALIAH 2,Jalan Tol Ciawi Nomor 01,CIAWI,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518241986,02518241986,smkamaliahciawi@gmail.com,http://https://smkamaliah.sch.id,Dedi Setiana
20254275,SMKS KUSUMA BANGSA YASTIA,JL.VETERAN II NO 44 DESA TELUKPINANG KEC.CIAWI KAB. BOGOR,TELUK PINANG,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518248023,02518248023,smkkbyofficial@gmail.com,http://www.smkkusumabangsayastia.mysch.id,M. Syarif Hidayatulloh
20255760,SMKS SUMPAH PEMUDA 2,JL. JAMBULUWUK KP. CUKANGGALEUH,JAMBU LUWUK,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,andi.cahyadi14@gmail.com,http://www.smksmpsumpahpemuda2.sch.id,ABDUL MAJID
20231448,SMKS WIJAYA PLUS,JL. BITUNG SARI 1 RATNA CIAWI BOGOR,BITUNG SARI,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518248771,02518248771,smkwijayaplusciawi@gmail.com,-,Muhammad Saepul Anwar
20270667,SMKS WIJAYA PLUS 2,JL. BITUNG SARI 1 RATNA KP. SUKAMANAH,BITUNG SARI,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518248771,02518248771,smkwijayaplus2ciawi@gmail.com,https://smkwijayaplus2.sch.id/,HERMANSYAH
20200596,SMKS WISATA SATRIA 1,JL. RAYA PUNCAK NO. 487 CIAWI BOGOR,BENDUNGAN,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02512130440,-,satriana.ws1@gmail.com,http://-wisatasatria1bogor.sch.id,Mochamad Firly Agustiana Putra
20232497,SMKS WISATA SATRIA 2,JL. RAYA PUNCAK NO.487 CIAWI BOGOR,BENDUNGAN,Ciawi,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518251540,02518251540,wisatasatria.2@gmail.com,http://-wisatasatriabogor.sch.id,Adeptia Mahpudani
69859699,SMK DIVA TUNAS BANGSA,Jl.Kampung Cidokom RT 02 RW 10 Cisarua Bogor,KOPO,Cisarua,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,tunasb368@gmail.com,http://www.divatunasbangsa@blogspot.com,Kirana Beta Fratu Krimah
